GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-app,com.mycompany.app,RomanPrinter,297,0,20,0,30,0,13,0,3,0
my-app,com.mycompany.app,IntegerToRoman,209,0,12,0,22,0,8,0,2,0
